"Username","Demos","Exterminations"
"toothboto",86319,7389
"catman",52393,2474
"G pea eS",51773,1531
"Woody",48012,2540
"Legal California",47857,3484
"Ripper",45815,3189
"MS WHIDDLEBERRY",44581,4173
"Mr. Demo Man",42635,2840
"YourEvilTwin",42087,782
"Rocket Sledge",38219,738
"derkergen40",38037,404
"Deathmerchant68",37736,322
"Kiomen",31402,2106
"JG",31209,1496
"DonnyWonder85",30777,1326
"Claven",30301,337
"shadow6ram",28794,1145
"GOALIE_ERASER",27605,2013
"jgb1999",27505,237
"bo0td",27093,153
"Brodo Swaggins",27059,1031
"SGT-Z",27049,1150
"Punka",26008,271
"RonnieSMASH",25980,393
"Plane",24498,392
"neropatti",23982,578
"CaptainPOISON",23710,1821
"Papa Lane 88",23384,150
"ScoobyDoobyDubus",20689,545
"shifty",20591,161
"andu",20319,247
"PUNKA",20014,195
"DK",19498,175
"Psittacus",19312,1079
"VampireSquid",18677,313
"rage10b",18474,1001
"John",17529,818
"Hoodyhooo",17421,53
"Francuska Bagieto",16903,1308
"Car",16321,831
"Billy",16071,141
"SplitParadox",15840,204
"RedWater333",15747,132
"El_Unico_Nacho",15605,129
"OPositiv",15119,350
"Jump",14984,278
"Tejism",14599,304
"Jbomb",14577,95
"ASS_HAMMER",14415,458
"Laroche",14088,666
"bo0ted",14010,63
"LiveWire73",13623,108
"Sapphyre",13113,143
"ParaYEET",12952,383
"Zuko186",12761,69
"A_Sarchasm",12685,516
"Steve Stifler",11998,917
"Underwater Otter",11796,72
"CaeruCat",11634,39
"bebisher",11358,51
"Qdub",11178,23
"vraeden",11064,47
"DarkRooster",11033,200
"RedWater",10865,101
"Old Man Joe",10389,43
"ForestMoon",10191,292
"CPT. Tendies",10122,689
"TimbreWolves",10037,122
"Retselom",10026,385
"clemsonpablo",10011,76
"Shire",10000,174
"Schembri46n2",9595,82
"King Bonkk",9258,62
"b-lev",8608,62
"Hiccup",8517,159
"MrSmile",7929,42
"August",7889,238
"heylookafork",7750,41
"Carbon",7631,22
"Kiimmmiiii89",7522,65
"Kaeso Clarus",7500,75
"SpacePope",7381,16
"Pulch",7140,17
"arrogantmeat",6794,23
"bdong",6716,101
"Excuse Me",6549,19
"ProProfessional",6521,38
"MyNameIzMayhem",6144,38
"Toke_Tokerson",6137,133
"Demintele",6104,59
"Xingor",5945,36
"DukeBryzzo",5656,189
"Tragik",5489,13
"Dot",5464,12
"GenesisAU",5427,36
"xPorter__101",5158,47
"IvanJagginoff",4952,133
"HoraryHellfire",4941,8
"svr333",4475,18
"Big Island",4198,4
"Craiger32",4071,15
"Bentz",3802,2
"WillWillCool",3669,144
"B1nary Drag0n",3516,17
"SunnyPlayz",3390,16
"Street_Stallion",2974,119
"Nation",2961,7
"Dwies",2800,100
"Kinley",2718,1
"Absolute Zero",2630,15
"DernRL",2618,9
"BigWungus",2600,3
"TmanRL",2524,15
"Basher",2507,16
"JustJacob",2500,90
"Duck with a Chainsaw",2443,11
"Low Gravitas",2404,27
"Shadeslayer",2371,38
"Qwertycube",2344,15
"skoorbs",2053,6
"LORDMACCUS",2047,40
"Hamster",2020,9
"YumSoup",1787,41
"Serpent",1706,5
"I dont keep it hentai",1625,12
"UstrokitIslewach",1448,30
"CJ",1447,10
"Caecilius",1413,12
"Helix-017",1304,22
"Luca",1299,23
"nukewaste13",1187,0
"TACTICAL-_-TAC0-",1121,16
"Reecey1297",1024,7
"Crashtimer",1022,9
"Jeannie",917,22
"Lmited",632,19
"Serhan",215,11
"Catiper06",176,0 
"Car",16321,831 
"Plane",24604,393 
"jgb1999",27664,244 
"DukeBryzzo",5699,191 
"Dukenator76",6175,21 
"andu",20593,252 
"Plane",24627,393 
"King Bonkk",9344,63 
"Dwies",6409,171 
"DukeBryzzo",5991,206 
"SGT-Z",27461,1177 
"jgb1999",27928,253 
"Woody",49484,2659 
"jgb1999",28019,255 
"andu",20757,256 
"andu",20757,256 
"Old Man Joe",10855,45 
"b-lev",8698,65 
"b-lev",8706,67 
"b-lev",8719,67 
"DemoNinja",40015,1134 
"King Bonkk",9389,63 
"Rocket Sledge",38702,763 
"jgb1999",28189,262 
"derkergen40",44591,659 
"Old Man Joe",11000,47 
"Woody",50192,2716 
"Dwies",6969,224 
"Plane",24721,393 
"Jbomb",15122,100 
"King Bonkk",9451,70 
"andu",20923,262 
"Old Man Joe",11119,48 
"neropatti",24666,581 
"Car",16321,831 
"testuser",1,1 
"Car",16322,831 
"Car",16322,831
